Assessed Value,Sale Amount
133000.00,248400.00
110500.00,239900.00
150500.00,325000.00
127400.00,202500.00
217640.00,400000.00
528490.00,775000.00
203530.00,415000.00
158030.00,243000.00
65590.00,100000.00
140600.00,190790.00
170800.00,307000.00
195300.00,365000.00
219870.00,325000.00
264040.00,445000.00
82000.00,106000.00
189400.00,273750.00
97800.00,147000.00
180500.00,355000.00
147000.00,290000.00
219900.00,460000.00
43400.00,86501.00
200900.00,320000.00
117950.00,240000.00
61950.00,129900.00
47530.00,100000.00
47530.00,44900.00
150290.00,276000.00
8400.00,38500.00
87500.00,175000.00
102270.00,190000.00
130690.00,190000.00
378680.00,537000.00
194670.00,275000.00
286860.00,540000.00
125390.00,128000.00
202590.00,425000.00
139200.00,292500.00
55000.00,250000.00
44000.00,85000.00
35600.00,42750.00
83400.00,65000.00
359800.00,480000.00
128200.00,208000.00
210350.00,322000.00
110300.00,195000.00
191600.00,394000.00
188600.00,360000.00
161400.00,270000.00
203400.00,309000.00
61300.00,90000.00
114170.00,184499.00
602980.00,650000.00
746220.00,1140000.00
351260.00,873000.00
211100.00,373500.00
148200.00,260000.00
83020.00,175000.00
219810.00,439900.00
90680.00,95001.00
113530.00,225000.00
83850.00,128000.00
107390.00,260000.00
87380.00,235000.00
91210.00,160000.00
135990.00,215000.00
149030.00,360500.00
89580.00,165000.00
146250.00,291000.00
108350.00,247000.00
160060.00,275000.00
159460.00,243000.00
86100.00,124000.00
219100.00,475000.00
275960.00,370000.00
108920.00,144000.00
34730.00,290000.00
107210.00,205000.00
180480.00,330000.00
116790.00,252000.00
88610.00,189900.00
111550.00,206000.00
623900.00,650000.00
246800.00,575000.00
197500.00,400000.00
491890.00,765000.00
48280.00,69000.00
247000.00,399000.00
161300.00,315000.00
172800.00,345000.00
58500.00,72500.00
322150.00,628000.00
112350.00,199000.00
154210.00,315000.00
1964480.00,2350000.00
548800.00,870000.00
737590.00,1364000.00
2623950.00,3900000.00
1908690.00,2850000.00
1329090.00,1920000.00
